# regenerated by data/regen_tables_from_dump.py 20260719T183042Z (git 9b749c0) from offset_sweep_per_trip_retuned_20260719T180407Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
VED,my_ekf,20,408,0,23.978649970719403,11.490505351629652,34.73550994937075,25.7104851712867,22.04081876683847,31.852891269110234,1.6729865268518915,25.407038497856234,0.16176470588235295,0.19852941176470587,0.375,0.10784313725490197,0.7303921568627451,138.7,0.0,0.0,11,0.16624685138539042,12.14293268615147
VED,rbc_dekf,20,408,0,20.997899076295777,9.348853021313271,34.0421610140794,23.47212117141675,19.79060218974471,27.52640109593354,1.6165996105358706,21.833044255583367,0.1715686274509804,0.19852941176470587,0.3897058823529412,0.12990196078431374,0.6985294117647058,36.4,0.0,0.0,11,0.17632241813602015,12.14293268615147
VED,rbc_coupled,20,408,0,20.35191195825164,8.901636245320958,32.49024572163589,22.229047083723078,19.046495431634476,27.393263808044733,1.593979720492766,21.882135622219852,0.17647058823529413,0.19852941176470587,0.3897058823529412,0.09068627450980392,0.7328431372549019,23.700000000000003,0.0,0.0,12,0.18181818181818182,12.14293268615147
VED,coulomb,20,408,0,20.811915828714227,6.063943476648604,22.67186182530762,16.04606797690447,20.763839400979172,22.08113620338888,1.3341616105601928,22.07717002022778,0.15441176470588236,0.19117647058823528,0.3112745098039216,0.11764705882352941,0.7279411764705882,0.0,0.0,0.0,11,0.15869017632241814,12.14293268615147
VED,ocv_lookup,20,408,0,11.397284306769055,7.6724909197162665,20.80412965258312,14.825227019007281,9.250358406546312,31.201316249109187,2.6968796539979953,8.567102999701163,0.35294117647058826,0.36519607843137253,0.7843137254901961,0.2181372549019608,0.42892156862745096,443.6,418.9,29.55,11,0.36272040302267,
CALCE_A123,my_ekf,20,26,0,25.293778179663093,16.05938277692277,45.12098380588877,35.18069845485191,23.445431434536268,49.1022023271905,2.6736583930378144,25.00723086274972,0.07692307692307693,0.07692307692307693,0.4230769230769231,0.038461538461538464,0.8846153846153846,1470.9067311801687,1470.9067311801687,532.5459022722456,4,0.09090909090909091,16.112881756817128
CALCE_A123,rbc_dekf,20,26,0,26.23981642132982,18.14633095958642,44.90479522289776,31.78804256036314,24.32280111996902,40.49323592533378,2.5200108862001422,35.08336332267227,0.15384615384615385,0.23076923076923078,0.5384615384615384,0.07692307692307693,0.7692307692307693,1546.9058896405713,434.6723857559664,295.63448690267614,3,0.17391304347826086,16.112881756817128
CALCE_A123,rbc_coupled,20,26,0,36.1246629067887,25.674154131911177,41.900166672038374,32.33947766023073,33.573020513713146,52.870896459685866,4.926800596008342,52.870896459685866,0.038461538461538464,0.11538461538461539,0.38461538461538464,0.0,0.9615384615384616,1795.1071553554343,0.0,260.0706298098048,4,0.045454545454545456,16.112881756817128
CALCE_A123,coulomb,20,26,0,19.889721299855303,13.63074540121304,19.98873678180686,15.663319726305382,19.88963086047361,20.021768179300548,1.386707586837508,19.790990522117504,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.6923076923076923,0.0,0.0,0.0,4,0.2727272727272727,16.112881756817128
CALCE_A123,ocv_lookup,20,26,0,34.679438261304156,23.924944436212318,52.97300855452059,36.81458850586005,31.296832864707667,81.68234746950438,1.9372292178345438,23.718069679845406,0.2692307692307692,0.38461538461538464,0.6153846153846154,0.15384615384615385,0.5769230769230769,1252.5640313123367,710.4622726506768,578.3416289332636,0,0.2692307692307692,
Parallel_Module,my_ekf,20,216,0,15.566347634336054,6.428218641060402,23.5165514055466,15.49114041642208,15.299536943616701,19.997447329992557,2.370439612944932,11.08054595619415,0.26851851851851855,0.28703703703703703,0.2638888888888889,0.1527777777777778,0.5787037037037037,25.0,0.0,0.0,0,0.26851851851851855,15.100945999836666
Parallel_Module,rbc_dekf,20,216,0,15.536144428455948,5.8192925389257155,23.00199797821746,15.480604539499133,15.262546834670703,19.997447249242143,2.219443135781749,11.08004996428576,0.2638888888888889,0.3055555555555556,0.27314814814814814,0.1712962962962963,0.5648148148148148,0.0,5.0,0.0,0,0.2638888888888889,15.100945999836666
Parallel_Module,rbc_coupled,20,216,0,15.636695455560371,7.427532768199857,24.401619187977712,16.114594957543186,15.426578575450295,19.997447309071394,2.500573222746455,11.48759443321745,0.25462962962962965,0.2777777777777778,0.2222222222222222,0.125,0.6203703703703703,0.0,0.0,0.0,0,0.25462962962962965,15.100945999836666
Parallel_Module,coulomb,20,216,0,17.751808444485857,10.460940641413057,22.223788872983057,15.32768827243734,17.70099736947074,20.0,1.6210020416722086,15.625809655915084,0.18981481481481483,0.18981481481481483,0.18981481481481483,0.05555555555555555,0.7546296296296297,0.0,0.0,0.0,0,0.18981481481481483,15.100945999836666
Parallel_Module,ocv_lookup,20,216,0,16.31903716845111,9.427282002332035,28.29790907964389,21.07470182494247,14.363827525082318,25.013926654368845,2.7130976721292166,14.707555602720415,0.24074074074074073,0.2638888888888889,0.16666666666666666,0.1388888888888889,0.6203703703703703,635.0,460.0,0.0,0,0.24074074074074073,
