dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,ekf,bmw_i3,14,10.541622476015938,10.541283099495617,10.705432729629683,,,,,,,1838.7,18388.0
BMW_i3,coulomb,bmw_i3,14,17.864103544582804,17.377572378996366,23.599999999999998,,,,,,,1838.7,18388.0
BMW_i3,ocv_lookup,bmw_i3,14,17.500768068151327,12.552245974991077,84.2,0.569915745439801,0.5630689374304088,0.9084487363724914,1801.5,1801.5,1079.6,1838.7,18388.0
BMW_i3,ekf,bmw_i3,15,10.458703898218785,10.458568790563259,10.592996343518513,,,,,,,1042.5,10426.0
BMW_i3,coulomb,bmw_i3,15,15.489380210227722,15.37966046795471,18.200000000000006,,,,,,,1042.5,10426.0
BMW_i3,ocv_lookup,bmw_i3,15,14.12693368738441,13.654662380680163,22.861119537906994,,,,,,990.8,1042.5,10426.0
BMW_i3,ekf,bmw_i3,16,15.998520026632757,15.998377977919152,16.183702348611316,,,,,,,532.1,5322.0
BMW_i3,coulomb,bmw_i3,16,23.274760413451094,23.077064208170313,25.8,,,,,,,532.1,5322.0
BMW_i3,ocv_lookup,bmw_i3,16,44.602467641369174,30.909787735909934,81.7,1.6707892465033114,1.604899996530293,3.0333808490446867,526.4,526.4,243.7,532.1,5322.0
BMW_i3,ekf,bmw_i3,17,19.87601839719343,19.8758659811475,20.06044110370373,,,,,,,762.6,7627.0
BMW_i3,coulomb,bmw_i3,17,29.966435549385945,29.507819050821954,34.900000000000006,,,,,,,762.6,7627.0
BMW_i3,ocv_lookup,bmw_i3,17,47.1556648587675,34.86802398473374,74.2,1.6384193028654106,1.6263692294123315,2.537523395374497,752.8,752.8,0.0,762.6,7627.0
BMW_i3,ekf,bmw_i3,18,11.716022050350352,11.715851472930586,11.858030555555565,,,,,,,1612.1,16122.0
BMW_i3,coulomb,bmw_i3,18,17.39207044908831,17.181290789386026,21.299999999999997,,,,,,,1612.1,16122.0
BMW_i3,ocv_lookup,bmw_i3,18,18.916018214678783,15.367024402963644,83.8,,,,,,1004.9,1612.1,16122.0
BMW_i3,ekf,bmw_i3,19,19.390618819998252,19.390448148087447,19.589865014351847,,,,,,,2000.4,20005.0
BMW_i3,coulomb,bmw_i3,19,27.966824929778113,27.68596564465277,33.20000000000001,,,,,,,2000.4,20005.0
BMW_i3,ocv_lookup,bmw_i3,19,24.740032427207616,12.782870697902357,78.1,2.1397311874829694,2.0410764737369655,4.906144063961682,1949.4,1949.4,42.6,2000.4,20005.0
BMW_i3,ekf,bmw_i3,20,15.939440916352105,15.939284119063254,16.11151748425933,,,,,,,1743.5,17436.0
