# generated by analysis/identifiability_pass.py 20260719T182753Z; rbc_dekf @ +20pp with final wide-grid (Q_theta,R_theta); corr column = Pearson r of theta_end vs -slope*err_end (the 'theta absorbs SOC error' signature); corr empty when theta is degenerate (bias filter tuned OFF)
dataset,n,mean_abs_docv_dsoc_V,chosen_Q_theta_V2_per_s,chosen_R_theta_V2,median_abs_theta_end_mV,corr_theta_vs_minus_slope_err,median_signed_err_end_pp
BMW_i3,63,0.23682890421790606,1e-15,1.0,0.000760797531643445,0.18321271215527848,15.749914353388188
Deng_BAIC_EU500,2000,0.6511933281113528,1e-18,1.0,0.39812915611859523,0.00760217515684727,2.400000000000002
VED,408,0.287578411624512,1e-06,0.0001,9.994530220602389,-0.2515382630583471,6.48770894174493
CALCE_A123,26,0.8636406123659026,1.0,0.001,123.75340678646697,0.4703365747183367,15.263137087633694
Parallel_Module,216,1.6220810544117397,1e-18,1.0,0.1772459061001797,0.3555727726608976,8.927883613989678
