seg_index,vehicle_id,rmse_full_pct,outcome,t_conv_strict_s,innov_mean_mV,innov_std_mV,innov_lag1_autocorr,innov_soc_struct_rms_mV,frac_flat_ocv,dt_median_s,I_quant_step_A,duration_s,soh_end,r_int_end_mOhm
0,A1_seg_0002_win003,73.59911900437174,diverged,,15.548426878838894,143.69596969847763,-0.1966744908877728,0.3150768558560689,0.6777777777777778,1.0001239569974132,3e-06,1799.1066023266903,0.5701754387442906,8.0
1,A1_seg_0002_win004,28.925821341918734,diverged,,-3.1335535521862763,150.1487062237235,-0.17460916815945757,11.281866981236968,0.7465181058495822,1.0001863204597612,3e-06,1798.312972691514,0.5311933912924258,8.0
2,A1_seg_0002_win005,27.093727652243242,diverged,,13.920698972354094,133.92792613040743,-0.14602122175431176,0.4206350425410385,0.48467966573816157,1.000172846877831,3e-06,1799.70089399859,0.609646078838339,8.0
3,A1_seg_0002_win006,9.618867823205992,converged,675.671969487048,9.127999713125392,155.6375340445065,-0.22051215742994043,,0.3037974683544304,1.0001501342558186,3e-06,947.7683877350864,0.6578442913675293,8.0
4,A1_seg_0000_win000,51.187499540620415,diverged,,-2.8750376602907335,57.986112906650895,0.39937872414312586,16.56108288917045,0.6121883656509696,5.005112071371599,0.00018,1798.7902938916743,0.6519586679642168,8.0
5,A1_seg_0000_win001,30.282203792483088,recovered,,-36.48101389200811,29.475025678373065,-0.5545403302715562,1.9787560457001614,0.6138888888888889,5.004982532456779,0.00018,1794.8505187707995,0.6672921767344885,8.0
6,A1_seg_0000_win002,1.8199500776178699,converged,0.0,-36.090357302904124,40.68211090655062,0.12917264057744382,,0.752,5.001373535950734,0.00018,1796.1082005208232,1.0,8.0
7,A1_seg_0000_win003,86.01472694711124,diverged,,15.15346411745123,119.51363982592915,-0.03886185340152865,0.21501219271307878,0.5833333333333334,1.0047873579251245,9e-05,1798.943780447683,0.5701754387442906,8.0
8,A1_seg_0000_win004,33.12619196844086,diverged,,-0.7418850557834548,117.94071122385782,0.022468386804009935,3.9522070562430813,0.48333333333333334,1.0046672505231982,9e-05,1798.9548567864986,0.5498019818950779,8.0
9,A1_seg_0000_win005,38.569600621362845,diverged,,13.892257220564822,115.45294441550966,-0.0018031419322306229,0.36657299031484136,0.5833333333333334,1.0046580114885728,9e-05,1799.0680660553662,0.5924826818250634,8.0
10,A1_seg_0000_win006,14.190500433277284,converged,1597.7449116395092,-3.274396194124945,117.0816280498768,0.07248858977148112,2.49358054005068,0.59,1.0048774384777062,9e-05,1799.0393884659625,0.6677572325958986,8.0
11,A1_seg_0000_win007,19.983667977323265,diverged,,-15.215724977481514,187.6752123152245,0.0023300333334442943,,0.15730337078651685,1.0040424610469927,0.00018,86.79441293159653,1.0,8.0
12,A1_seg_0001_win000,39.45065008667529,diverged,,12.106773904544662,31.518378828313562,-0.13004451723438532,17.102578749304964,0.5972222222222222,5.005259318426397,0.00018,1796.8832773652666,0.7021472467585501,8.0
13,A1_seg_0001_win001,16.85811051996242,converged,1277.5887857534053,-1.0960081259130263,18.765837684949563,0.7568291394687174,15.054648016722677,0.47368421052631576,5.005130356955306,0.00018,1798.0767578823288,0.831173995221821,8.0
14,A1_seg_0001_win002,75.56480290032117,diverged,,-0.41568091538748564,160.4188723971994,-0.26207347127278546,,0.5845697329376854,1.0060777425987908,9e-05,1794.2945380985657,0.5701717598336055,8.0
15,A1_seg_0001_win003,76.13354229633333,diverged,,14.76313622204105,179.13931848558994,-0.3909068310864395,0.30191829919674024,0.7138888888888889,1.0044414716994652,9e-05,1799.03985790749,0.5701754387442906,8.0
16,A1_seg_0001_win004,20.27052311568253,diverged,,-6.181018284918866,183.37467675883127,-0.3222977733419006,6.877726634908395,0.7111111111111111,1.0043769909607363,9e-05,1799.0513052844253,0.5197377916773316,8.0
17,A1_seg_0001_win005,41.7770933614609,diverged,,-8.782943928510113,181.8025229274971,-0.36616789636316266,0.9220474631566872,0.6277777777777778,1.0031922777125146,0.00018,1798.993358591546,0.5282884524596434,8.0
18,A1_seg_0001_win006,7.77363767361846,converged,623.8402332387341,8.923404191999948,184.4576371472441,-0.4173851984894064,,0.2716049382716049,1.0001185675610031,9e-05,972.0010448158137,0.6610675323375308,8.0
19,A1_seg_0002_win000,64.8027255503756,diverged,,-29.453116077069495,84.16839481040076,0.3442008491356723,24.422439801150087,0.6111111111111112,5.00004581020039,0.00018,1795.5277490765257,0.562147975145166,8.0
20,A1_seg_0002_win001,26.558479422531512,converged,1597.2359792849202,-37.54341820599701,33.9267766219849,-0.4328745638820891,2.3742336598934948,0.481994459833795,5.000046195154937,0.00018,1797.2763319079386,0.683059145220105,8.0
21,A1_seg_0002_win002,72.73674836932554,diverged,,-1.020550462219556,162.3868894408638,-0.09024533366432641,,0.7441176470588236,1.0010555592962191,9e-05,1796.3697798159083,0.5701754387442906,8.0
22,A1_seg_0002_win003,76.23475598150354,diverged,,15.5318686647452,153.63205677079736,-0.15337755266047223,0.2568448773170398,0.6518105849582173,1.0001151029282482,9e-05,1799.513659919976,0.5701754387442906,8.0
23,A1_seg_0002_win004,39.8607822156057,diverged,,0.07973819467194417,174.53898094979021,-0.21579401217823624,16.365373526133823,0.7381615598885793,1.00014840194126,9e-05,1798.49213988036,0.5510776297555606,8.0
24,A1_seg_0002_win005,18.01346111459616,diverged,,3.8395586600667313,155.21256665368094,-0.1268372404016788,7.5393312487362385,0.46518105849582175,1.0001520590449218,9e-05,1799.273541597293,0.5876870933729407,8.0
25,A1_seg_0002_win006,4.813174923976162,converged,918.0314589158661,2.636244816924226,162.35631137506343,-0.1548891168420301,,0.5101449275362319,1.000122032204672,9e-05,1378.4647324076723,0.6724535676841505,8.0
