seg_index,vehicle_id,rmse_full_pct,outcome,t_conv_strict_s,innov_mean_mV,innov_std_mV,innov_lag1_autocorr,innov_soc_struct_rms_mV,frac_flat_ocv,dt_median_s,I_quant_step_A,duration_s,soh_end,r_int_end_mOhm
0,VehId_0010,8.846168449479872,recovered,,-0.17677072984453307,12.935524483072527,0.10251204259737377,,0.0,0.4000000000000057,0.25,201.3,0.7610576821177494,1.5180741226683847
1,VehId_0010,25.36501905792078,diverged,,1.1230395888709035,48.3238868998565,-0.01828554935610772,,0.2708333333333333,0.4000000000000057,0.25,136.0,0.629081071481558,12.551514417781947
2,VehId_0010,8.741123688165144,diverged,,-0.9931145151155119,54.97776159320593,-0.03990846900396943,,0.06116207951070336,0.39999999999997726,0.25,682.4,0.5940687680929276,14.100992682786703
3,VehId_0010,2.3688866770912873,converged,0.0,0.7713615880932266,66.60753235603038,-0.037490843484886675,,0.08644067796610169,0.6999999999999886,0.25,388.6,1.0,14.93066881871667
4,VehId_0010,45.07006358053629,diverged,,1.1324733631240445,49.101142757682176,-0.05511988066444781,,0.5542168674698795,0.39999999999997726,0.25,850.8,0.5701754387442906,14.58418352709601
5,VehId_0010,21.4132413129379,diverged,,-0.08234465444455141,47.96576539162859,-0.04000092210646012,,0.0,0.5,0.25,500.6,0.8444361200966958,14.430834324849382
6,VehId_0010,47.52451039753675,diverged,,0.11804510094840674,52.52884784472093,0.0017621893533883777,,0.21951219512195122,0.3999999999999986,0.25,409.7,0.5753337623508358,15.422035499782451
7,VehId_0010,45.992072542023735,diverged,,-1.1171371991537202,61.26333290029164,-0.02303343499252926,,0.3316062176165803,0.5,0.25,705.8,0.5541209038539328,14.81634413817774
8,VehId_0010,20.150600412752468,diverged,,-0.21834020599636142,64.36314173949494,0.08267809195316833,,0.5692695214105793,0.39999999999997726,0.25,393.9,0.5357789568038339,13.955646317473933
9,VehId_0010,1.4321902245883977,converged,445.3,0.5411053537103055,36.72266305584628,0.03347005084574308,,0.004975124378109453,0.6999999999999886,0.25,522.4,0.7402386344757711,14.42647610218276
10,VehId_0010,30.5085831220011,diverged,,0.6532805915809295,66.62268528377847,-0.051705018900890735,,0.7197452229299363,0.8999999999999773,0.25,2192.2,0.6050945146889175,22.969944536516486
11,VehId_0010,23.797533263807953,diverged,,0.058328732312877066,35.298285135251504,-0.03555318294966627,,0.4838709677419355,0.3999999999999986,0.25,353.9,0.7785552210914571,6.390069874688288
12,VehId_0010,12.750073998804043,diverged,,2.173241190867398,90.43019560522455,0.0010458551344490745,,0.45652173913043476,0.7000000000000028,0.25,162.5,1.0,14.743010809566554
13,VehId_0010,46.97775525129129,diverged,,-0.23604975199156947,49.64857464031476,-0.004824783132993765,,0.3355048859934853,0.4000000000000057,0.25,1320.6,0.5415999807526459,13.6291478819565
14,VehId_0010,6.183342085064667,recovered,,1.1364355399367982,35.3827350997147,-0.013237251489673306,,0.0,0.5,0.25,575.8,1.0,14.818439694279066
15,VehId_0010,3.0338931096177313,converged,0.0,0.9562787291745654,45.72542918533347,-0.016742591342850086,,0.0,0.4000000000000057,0.25,195.5,1.0,14.923223207136312
16,VehId_0010,7.429754160896194,recovered,,1.608158039058925,35.88520770463595,-0.04235006192234911,,0.0,0.3999999999999915,0.25,133.4,1.0,14.956668089194263
17,VehId_0010,1.3308500402787893,converged,0.0,1.0763233365127352,55.98402913346777,-0.029722636551612232,,0.4119718309859155,0.3999999999999999,0.25,312.7,1.0,14.88304201796195
18,VehId_0010,15.236025787477029,converged,145.7,-1.1196655411353127,35.389894524791956,0.027751737567356258,,0.13798977853492334,0.5,0.25,351.6,0.6140285313823458,10.150847010358774
19,VehId_0010,61.08662154657309,diverged,,1.319609303154053,65.22305646592737,-0.009177988740995216,,0.11627906976744186,0.5,0.25,664.9,0.5701663307126943,16.412008586026843
20,VehId_0010,30.26100150551737,diverged,,0.0662921292522655,38.420521846471736,-0.02854622087689957,,0.8286604361370716,0.4000000000000057,0.25,344.6,0.8048327829503176,9.194829649558416
21,VehId_0010,52.94936023672142,diverged,,-1.3628433860404052,86.60036551551102,-0.0027384977441470264,,0.24685138539042822,0.40000000000000036,0.25,636.5,0.563977221604397,16.285862540188884
22,VehId_0010,27.906057052585986,diverged,,-0.06521217766905285,54.51812152786071,0.051229906239132074,,0.79,0.30000000000000426,0.25,182.0,0.6259952689739865,14.720845110011625
23,VehId_0010,17.657005353318407,recovered,,-2.4380827569372485,44.65941468442206,0.0062423137990474265,,0.0,0.39999999999997726,0.25,736.4,0.5450327246287175,11.650960160753057
24,VehId_0010,4.441014889053117,recovered,,-0.1471563295033749,61.02150048642257,0.0004233775558423811,,0.0,0.29999999999999716,0.25,189.6,1.0,14.886379211086243
25,VehId_0010,18.215531634242563,diverged,,2.7960197560092093,27.597912958688273,-0.20936813833811685,,0.0,1.0,0.25,139.3,1.0,14.942857050918068
26,VehId_0010,32.183283536754544,diverged,,1.3805969537377614,78.07964180649793,-0.018285792752065228,,0.8823529411764706,0.39999999999999925,0.25,373.5,0.6148459348124247,21.548469826528503
27,VehId_0010,34.14068448175036,diverged,,0.17078071425015365,64.8566178061154,-0.007087176336763676,,0.0,0.3000000000000078,0.25,205.6,0.7675367380719782,10.745303464777066
28,VehId_0010,34.65896852597132,diverged,,-1.6046714020332493,63.03937178379454,-0.026163134414052658,,0.2017291066282421,0.39999999999997726,0.25,713.9,0.5623491614450723,14.79293112230234
29,VehId_0010,23.900193872608995,diverged,,-0.4797298112508222,50.538383550462505,-0.022272149082129836,,0.18151815181518152,0.39999999999997726,0.25,959.8,0.5842325120999484,11.634343896626822
