# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
main_table.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,rmse_full_mean,36.81458850586005,36.81458850586005,0.0,False,False
main_table.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,mae_full_median,31.296832864707667,31.296832864707667,0.0,False,False
main_table.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,conv_rate_strict,0.2692307692307692,0.2692307692307692,0.0,False,False
main_table.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,conv_rate_legacy,0.6153846153846154,0.6153846153846154,0.0,False,False
main_table.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rmse_full_median,43.4243048071293,14.827529275986073,-28.59677553114323,True,True
main_table.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rmse_full_mean,40.123308348851644,14.83164190691044,-25.291666441941203,True,True
main_table.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,mae_full_median,35.91048431157534,14.020425265928733,-21.890059045646606,True,True
main_table.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,conv_rate_strict,0.035,0.6195,0.5845,True,True
main_table.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,conv_rate_legacy,0.9605,0.399,-0.5615,True,True
main_table.csv,Deng_BAIC_EU500,ekf,Deng_BAIC_EU500|ekf,rmse_full_median,9.283379517088294,9.283379517088294,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ekf,Deng_BAIC_EU500|ekf,rmse_full_mean,9.69217307590877,9.69217307590877,0.0,False,False
main_table.csv,Deng_BAIC_EU500,ekf,Deng_BAIC_EU500|ekf,mae_full_median,6.909609987647708,6.909609987647708,0.0,False,False
