# regenerated by data/regen_tables_from_dump.py 20260719T195435Z (git 9b749c0) from offset_sweep_per_trip_20260719T193500Z.csv; wide-grid θ; changed fleets vs narrow grid: none; my_ekf/coulomb/ocv_lookup rows from the cross-checked sweep
# ocv_lookup is init-independent: identical values replicated across offset rows by construction
# censoring threshold per dataset = EKF median strict t_conv at +20pp
# NOMINAL protocol: correct initial SOC (offset 0), P0_soc=(2pp)^2 floor — unlike every other table, which uses the adversarial wrong-init protocol
# Calibration split: 10% of segments per vehicle for the fleet datasets (BMW i3, Deng, VED); 40% per cell for CALCE and 30% per module for UMich/Ford — data-size-driven exceptions, decided before evaluation (see data/soc_baseline_benchmark_calce.py / _module.py).
# All SOC errors in percentage points; every estimator (including coulomb counting) starts from the same deliberately wrong initial SOC.
# Initial SOC is clipped to [2%, 98%], so trips starting near a rail receive LESS than the nominal offset; this materially lowers the coulomb baseline's aggregate stress-test RMSE in 23 of 45 dataset×offset cells (e.g. +20 pp: 43% of BMW and 51% of VED trips clipped; clipped-trip coulomb RMSE ~2–12 pp vs ~20 pp unclipped) — a protocol artifact, not estimator skill; medians are far less affected than means. Full grid: results/coulomb_clipping_diagnostic.csv.
dataset,method,offset_pp,n_trips,n_errors,rmse_median,rmse_q25,rmse_q75,rmse_mean,mae_median,maxerr_median,rmse_postconv_median,err_end_median,conv_rate_strict,conv_rate_hold,conv_rate_legacy,rate_recovered,rate_diverged,t_conv_strict_median_s,t_conv_hold_median_s,t_conv_legacy_median_s,n_censored,conv_rate_strict_censaware,mean_applied_offset_pp
BMW_i3,my_ekf,0,63,0,13.941352115349495,0.2517695536898745,21.498926993540962,15.479083637544559,11.528536095549772,22.099999999999998,0.15109225882116942,13.489379215746844,0.3333333333333333,0.47619047619047616,0.7936507936507936,0.07936507936507936,0.5873015873015873,0.0,0.0,0.0,5,0.3620689655172414,0.0
BMW_i3,rbc_dekf,0,63,0,13.38915028815456,0.2540024038501688,23.72044066003513,15.068466389917814,10.14795570064342,21.90000000000001,0.15359319158513168,14.31950956857757,0.3492063492063492,0.5396825396825397,0.7777777777777778,0.1111111111111111,0.5396825396825397,0.0,0.0,0.0,5,0.3793103448275862,0.0
BMW_i3,coulomb,0,63,0,0.232312772999996,0.1518996490477257,0.32597849011125535,0.35408614066448163,0.19643138395217136,0.413995833333447,0.22869003690702397,0.3862018518519639,0.9841269841269841,1.0,1.0,0.0,0.015873015873015872,0.0,0.0,0.0,0,0.9841269841269841,0.0
BMW_i3,ocv_lookup,0,63,0,38.42788954727097,25.65936567928454,49.99351066403957,37.753746948120366,30.414773631130853,73.4,2.1397311874829694,18.999999999999993,0.3968253968253968,0.3968253968253968,0.7936507936507936,0.047619047619047616,0.5555555555555556,1287.4,1287.4,117.9,6,0.43859649122807015,
Deng_BAIC_EU500,my_ekf,0,2000,0,9.21067473931278,5.448086773502542,11.438045857118755,8.76411913895065,6.803683107932022,22.28730614059403,2.9420378664270985,2.400000000000002,0.872,0.9645,0.958,0.1075,0.0205,2401.5,1001.0,811.0,91,0.9135673127291776,0.0034
Deng_BAIC_EU500,rbc_dekf,0,2000,0,6.067569405548953,4.329403550749875,7.392502940394472,5.8765006599852025,4.614182791028988,18.882690476311254,3.3054068260524754,2.400000000000002,0.8595,0.9385,0.9725,0.137,0.0035,2211.0,321.0,251.0,90,0.9,0.0034
Deng_BAIC_EU500,coulomb,0,2000,0,4.975292208581551,3.279660897991261,6.940913268339643,5.163518856383243,4.328333330797248,8.258542736590098,1.9531754926461773,8.090368434865791,0.2235,0.998,0.998,0.4375,0.339,0.0,0.0,0.0,95,0.2346456692913386,0.0034
Deng_BAIC_EU500,ocv_lookup,0,2000,0,6.347978911877719,4.6484720553099095,7.327760567205908,6.051591944027226,5.3012011638026735,16.000000000000004,3.6499798549000886,2.400000000000002,0.7475,0.929,0.956,0.1675,0.085,3731.0,370.0,10.0,134,0.8011789924973205,
VED,my_ekf,0,408,0,12.87040866143874,5.542929001612511,23.59073342608572,17.62033407397681,11.264883442706685,21.35413536819195,1.556415017021198,14.814104330228151,0.22303921568627452,0.2647058823529412,0.6446078431372549,0.14950980392156862,0.6274509803921569,0.0,0.0,0.0,10,0.228643216080402,-0.4015425139781866
VED,rbc_dekf,0,408,0,10.940756311776136,4.581128371962281,21.796652748498605,15.676762344006736,9.485626516628056,20.10337972458626,1.705702979053266,11.592968393920078,0.2622549019607843,0.28921568627450983,0.6519607843137255,0.18872549019607843,0.5490196078431373,0.0,0.0,0.0,11,0.2695214105793451,-0.4015425139781866
VED,coulomb,0,408,0,1.4333602590222072,0.6319487063889513,2.4737771350877624,1.6760662145644318,1.2415364061911414,2.429299257044451,1.2589559359556382,2.0150051201722254,0.9093137254901961,0.9754901960784313,1.0,0.0857843137254902,0.004901960784313725,0.0,0.0,0.0,0,0.9093137254901961,-0.4015425139781866
